,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
61,61,61,61,34, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.9 - 110.2seconds, A droplet of water is shown on a spout and the mouse grabs it with his mouth. 108.2 - 286.1seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
62,62,62,62,3, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 101.4seconds, A drop of water is shown on a spout and the mouse grabs it with his mouth. 102.1 - 286.4seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
63,63,63,63,104, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 18.9 - 117.2seconds, The mouse then uses his tongue to grab the water and drink it. 117.2 - 286.3seconds, The mouse continues to do this over and over again while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
64,64,64,64,13, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.4 - 103.2seconds, A drop of water is then shown dripping down and the mouse grabbing it with his mouth. 103.9 - 286.7seconds, The mouse continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
65,65,65,65,47, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 103.2seconds, A droplet of water is shown on a spout and the mouse grabs it with his tongue. 104.6 - 286.6seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
66,66,66,66,73, Yes, No, Yes,70.0,s, Successful,"1. Yes
2. No
3. Yes
4. 70%
5. Successful
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with water dripping down. 19.5 - 111.4seconds, The mouse then grabs the water and drinks it. 112.0 - 286.1seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
67,67,67,67,45, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8 seconds: A water drop is delivered to a metal spout. 7.9 - 286.2 seconds: The mouse uses its right paw to grab the water drop and bring it to its mouth. 
7. I am 100% confident in my results.", I am 100% confident in my results.
68,68,68,68,53, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 27.4 - 161.4seconds, The mouse then grabs the drop with his mouth and begins to drink. 148.2 - 286.1seconds, He continues drinking until the drop is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
69,69,69,69,20, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 17.8 - 109.2seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 109.2 - 286.4seconds, He continues to eat the water while looking back at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
70,70,70,70,70, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.8 - 113.2seconds, A drop of water is shown on a spout and the mouse grabs it with his tongue. 113.2 - 286.3seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
71,71,71,71,48, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a water spout and grabbing the water with his mouth. 18.9 - 72.1seconds, The mouse continues to drink the water while the camera watches. 72.1 - 129.2seconds, The mouse grabs the water again and drinks it all up. 129.2 - 179.4seconds, The mouse grabs the water one last time and drinks it all up. 179.4 - 286.2seconds, The mouse grabs the water for the final time and drinks it all up. 
7. 100%", 100%
72,72,72,72,14, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 19.2 - 110.4seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 111.5 - 286.6seconds, He continues to eat the water off of his paw. 
7. I am 100% confident in my results.", I am 100% confident in my results.
73,73,73,73,12, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 103.2seconds, A droplet of water is shown hanging from a spout. 104.6 - 286.2seconds, The mouse then grabs the drop with his paw and eats it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
74,74,74,74,76,,,,,f,,"1. Yes
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.9 - 110.2seconds, A droplet of water is shown on a spout and the mouse drinks it. 108.2 - 286.2seconds, The same shot is shown again in slow motion.",
75,75,75,75,114,,,,,s,,"1. Yes
2. No
3. Yes
4. 70%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 19.5 - 113.2seconds, A drop of water is shown on a stick and the mouse grabs it with his mouth. 113.2 - 286.3seconds, The mouse then drinks the water and looks back at the camera.",
76,76,76,76,23,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A close up of a mouse is seen sitting in front of a spout with a drop of water hanging off. 17.8 - 109.1seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 109.1 - 286.3seconds, The mouse continues to drink the water while the camera watches on.",
77,77,77,77,57, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 19.4 - 103.1seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 104.5 - 286.4seconds, He continues to eat the ice while looking back to the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
78,78,78,78,119, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 19.8seconds, A close up of a mouse is seen sitting in front of a camera. 19.8 - 107.0seconds, A drop of water is shown on a spout and the mouse grabs it with his mouth. 107.0 - 286.2seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
79,79,79,79,52, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.4 - 111.4seconds, A drop of water is shown on a spout and the mouse grabs it with his mouth. 112.1 - 286.3seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
80,80,80,80,108, Yes, No, Yes,50.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 50%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 17.8 - 190.8seconds, The mouse then grabs the water with his tongue and drinks it. 190.8 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
81,81,81,81,26, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 7.8 - 19.2seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 19.2 - 286.2seconds, The mouse continues to eat the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
82,82,82,82,58, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 19.0 - 271.2seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 272.4 - 286.3seconds, He continues to eat the ice while looking back at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
83,83,83,83,55, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 89.0seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 79.1 - 179.2seconds, The mouse then grabs the water and drinks it all up. 179.2 - 286.2seconds, The mouse continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
84,84,84,84,98, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 18.9 - 107.8seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 107.8 - 286.2seconds, He continues to eat the water while looking back at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
85,85,85,85,106, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with its tongue out. 19.4 - 102.2seconds, The mouse then grabs a water droplet and begins to drink. 103.7 - 286.4seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
86,86,86,86,117, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.7: The mouse is head-fixed and a water drop is delivered to the spout. 29.3 - 100.0: The mouse grabs the drop with its paw and brings it to its mouth. 100.6 - 173.3: The mouse drinks the water from its paw. 173.9 - 286.6: The mouse drops the water and tries to grab it again, but fails.
7. I am 100% confident in my results.", I am 100% confident in my results.
87,87,87,87,5, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A close up of a mouse is seen sitting in front of a camera. 19.2 - 113.2seconds, A droplet of water is shown on a spout and the mouse grabs it with his mouth. 116.4 - 286.4seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
88,88,88,88,44,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 18.7 - 109.1seconds, The mouse then grabs the drop with his mouth and drinks it. 109.1 - 286.3seconds, The mouse continues to drink the water while the camera watches.",
